gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
151,The Rime of the Ancient Mariner,"Coleridge, Samuel Taylor",95,en,NA,Public domain in the USA.,TRUE
153,Jude the Obscure,"Hardy, Thomas",23,en,Banned Books from Anne Haight's list,Public domain in the USA.,TRUE
154,The Rise of Silas Lapham,"Howells, William Dean",97,en,Contemporary Reviews,Public domain in the USA.,TRUE
155,The Moonstone,"Collins, Wilkie",98,en,Detective Fiction/Mystery Fiction,Public domain in the USA.,TRUE
157,Daddy-Long-Legs,"Webster, Jean",99,en,School Stories,Public domain in the USA.,TRUE
158,Emma,"Austen, Jane",68,en,NA,Public domain in the USA.,TRUE
159,The Island of Doctor Moreau,"Wells, H. G. (Herbert George)",30,en,Science Fiction/Best Books Ever Listings/Movie Books,Public domain in the USA.,TRUE
160,"The Awakening, and Selected Short Stories","Chopin, Kate",100,en,Banned Books from Anne Haight's list/Banned Books List from the American Library Association,Public domain in the USA.,TRUE
161,Sense and Sensibility,"Austen, Jane",68,en,NA,Public domain in the USA.,TRUE
163,Flower Fables,"Alcott, Louisa May",102,en,Children's Literature,Public domain in the USA.,TRUE
164,Twenty Thousand Leagues under the Sea,"Verne, Jules",60,en,Science Fiction,Public domain in the USA.,TRUE
165,McTeague: A Story of San Francisco,"Norris, Frank",103,en,NA,Public domain in the USA.,TRUE
166,Summer,"Wharton, Edith",104,en,NA,Public domain in the USA.,TRUE
167,American Hand Book of the Daguerreotype,"Humphrey, S. D. (Samuel Dwight)",105,en,Art/Photography,Public domain in the USA.,TRUE
168,The History and Practice of the Art of Photography,"Snelling, Henry Hunt",106,en,Art/Photography,Public domain in the USA.,TRUE
169,The Well at the World's End: A Tale,"Morris, William",107,en,Fantasy,Public domain in the USA.,TRUE
170,The Haunted Hotel: A Mystery of Modern Venice,"Collins, Wilkie",98,en,NA,Public domain in the USA.,TRUE
171,Charlotte Temple,"Rowson, Mrs.",108,en,NA,Public domain in the USA.,TRUE
172,The Haunted Bookshop,"Morley, Christopher",109,en,Bibliomania,Public domain in the USA.,TRUE
173,The Insidious Dr. Fu Manchu,"Rohmer, Sax",110,en,Crime Fiction,Public domain in the USA.,TRUE
174,The Picture of Dorian Gray,"Wilde, Oscar",111,en,Gothic Fiction/Movie Books,Public domain in the USA.,TRUE
175,The Phantom of the Opera,"Leroux, Gaston",112,en,Opera/Gothic Fiction/Movie Books,Public domain in the USA.,TRUE
176,Roderick Hudson,"James, Henry",113,en,NA,Public domain in the USA.,TRUE
177,The American,"James, Henry",113,en,NA,Public domain in the USA.,TRUE
178,Confidence,"James, Henry",113,en,NA,Public domain in the USA.,TRUE
179,The Europeans,"James, Henry",113,en,NA,Public domain in the USA.,TRUE
180,The 1994 CIA World Factbook,United States. Central Intelligence Agency,8,en,CIA World Factbooks,Public domain in the USA.,TRUE
200,"The Project Gutenberg Encyclopedia, Volume 1 of 28",Project Gutenberg,114,en,Reference,Public domain in the USA.,TRUE
202,My Bondage and My Freedom,"Douglass, Frederick",34510,en,African American Writers/Slavery,Public domain in the USA.,TRUE
203,Uncle Tom's Cabin,"Stowe, Harriet Beecher",115,en,US Civil War/Slavery/Banned Books from Anne Haight's list,Public domain in the USA.,TRUE
204,The Innocence of Father Brown,"Chesterton, G. K. (Gilbert Keith)",80,en,Detective Fiction,Public domain in the USA.,TRUE
205,"Walden, and On The Duty Of Civil Disobedience","Thoreau, Henry David",54,en,NA,Public domain in the USA.,TRUE
206,"The Martin Luther King, Jr. Day, 1995, Memorial Issue",Various,116,en,NA,Public domain in the USA.,TRUE
207,The Spell of the Yukon and Other Verses,"Service, Robert W. (Robert William)",117,en,Canada,Public domain in the USA.,TRUE
208,Daisy Miller: A Study,"James, Henry",113,en,NA,Public domain in the USA.,TRUE
209,The Turn of the Screw,"James, Henry",113,en,Opera/Best Books Ever Listings/Horror/Gothic Fiction,Public domain in the USA.,TRUE
210,An International Episode,"James, Henry",113,en,NA,Public domain in the USA.,TRUE
211,The Aspern Papers,"James, Henry",113,en,NA,Public domain in the USA.,TRUE
212,A List of Factorial Math Constants,Unknown,49,en,Mathematics,Public domain in the USA.,TRUE
213,The Man from Snowy River,"Paterson, A. B. (Andrew Barton)",118,en,Australia,Public domain in the USA.,TRUE
214,"In the Days When the World Was Wide, and Other Verses","Lawson, Henry",119,en,Australia,Public domain in the USA.,TRUE
215,The Call of the Wild,"London, Jack",120,en,Animals-Domestic/Adventure/Best Books Ever Listings/Movie Books/Banned Books from Anne Haight's list/Banned Books List from the American Library Association,Public domain in the USA.,TRUE
216,"The Tao Teh King, or the Tao and its Characteristics",Laozi,2427,en,Paganism,Public domain in the USA.,TRUE
217,Sons and Lovers,"Lawrence, D. H. (David Herbert)",123,en,Best Books Ever Listings/Banned Books from Anne Haight's list/Banned Books List from the American Library Association,Public domain in the USA.,TRUE
219,Heart of Darkness,"Conrad, Joseph",125,en,Best Books Ever Listings/Movie Books,Public domain in the USA.,TRUE
220,The Secret Sharer,"Conrad, Joseph",125,en,NA,Public domain in the USA.,TRUE
222,The Moon and Sixpence,"Maugham, W. Somerset (William Somerset)",126,en,Contemporary Reviews,Public domain in the USA.,TRUE
223,The Wisdom of Father Brown,"Chesterton, G. K. (Gilbert Keith)",80,en,Detective Fiction,Public domain in the USA.,TRUE
224,A Pair of Blue Eyes,"Hardy, Thomas",23,en,NA,Public domain in the USA.,TRUE
225,At the Back of the North Wind,"MacDonald, George",127,en,Children's Literature,Public domain in the USA.,TRUE
228,The Aeneid,Virgil,129,en,Classical Antiquity/Best Books Ever Listings/Poetry/Harvard Classics,Public domain in the USA.,TRUE
230,The Bucolics and Eclogues,Virgil,129,en,Classical Antiquity,Public domain in the USA.,TRUE
232,The Georgics,Virgil,129,en,NA,Public domain in the USA.,TRUE
233,Sister Carrie: A Novel,"Dreiser, Theodore",130,en,NA,Public domain in the USA.,TRUE
234,Child Christopher and Goldilind the Fair,"Morris, William",107,en,Fantasy,Public domain in the USA.,TRUE
236,The Jungle Book,"Kipling, Rudyard",132,en,Scouts/Children's Literature/Movie Books/Contemporary Reviews,Public domain in the USA.,TRUE
238,Dear Enemy,"Webster, Jean",99,en,"Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
239,Radar Map of the United States,United States,1,en,NA,Public domain in the USA.,TRUE
241,"Clotelle; Or, The Colored Heroine, a tale of the Southern States; Or, The President's Daughter","Brown, William Wells",135,en,African American Writers,Public domain in the USA.,TRUE
242,My Ántonia,"Cather, Willa",22,en,NA,Public domain in the USA.,TRUE
243,"The Forged Coupon, and Other Stories","Tolstoy, Leo, graf",136,en,NA,Public domain in the USA.,TRUE
244,A Study in Scarlet,"Doyle, Arthur Conan",69,en,Detective Fiction,Public domain in the USA.,TRUE
245,Life on the Mississippi,"Twain, Mark",53,en,NA,Public domain in the USA.,TRUE
246,The Rubaiyat of Omar Khayyam,Omar Khayyam,1787,en,NA,Public domain in the USA.,TRUE
247,Webster's Unabridged Dictionary (1st 100 Pages),"Webster, Noah",139,en,NA,Public domain in the USA.,TRUE
248,Webster's Unabridged Dictionary (2nd 100 Pages),"Webster, Noah",139,en,NA,Public domain in the USA.,TRUE
251,1995 United States Congressional Address Book,United States,1,en,NA,Public domain in the USA.,TRUE
252,"Copyright Law of the United States of America
Contained in Title 17 of the United States Code",NA,NA,en,NA,Public domain in the USA.,TRUE
256,Motion Picture of Rotating Earth,United States,1,en,NA,Public domain in the USA.,TRUE
257,Troilus and Criseyde,"Chaucer, Geoffrey",144,en,NA,Public domain in the USA.,TRUE
258,Poems by Adam Lindsay Gordon,"Gordon, Adam Lindsay",145,en,NA,Public domain in the USA.,TRUE
259,Ballads of a Cheechako,"Service, Robert W. (Robert William)",117,en,NA,Public domain in the USA.,TRUE
260,An Introduction to the Study of Robert Browning's Poetry,NA,NA,en,NA,Public domain in the USA.,TRUE
261,A Dome of Many-Coloured Glass,"Lowell, Amy",147,en,Poetry,Public domain in the USA.,TRUE
262,The Collected Poems of Rupert Brooke,"Brooke, Rupert",148,en,Poetry,Public domain in the USA.,TRUE
263,"Trees, and Other Poems","Kilmer, Joyce",149,en,NA,Public domain in the USA.,TRUE
264,"Main Street, and Other Poems","Kilmer, Joyce",149,en,NA,Public domain in the USA.,TRUE
265,The Life and Death of Cormac the Skald,NA,NA,en,NA,Public domain in the USA.,TRUE
266,"Confessio Amantis; Or, Tales of the Seven Deadly Sins","Gower, John",150,en,NA,Public domain in the USA.,TRUE
267,The Touchstone,"Wharton, Edith",104,en,NA,Public domain in the USA.,TRUE
268,The Octopus : A Story of California,"Norris, Frank",103,en,NA,Public domain in the USA.,TRUE
269,Beasts and Super-Beasts,Saki,152,en,NA,Public domain in the USA.,TRUE
270,Dream Days,"Grahame, Kenneth",153,en,NA,Public domain in the USA.,TRUE
271,Black Beauty,"Sewell, Anna",154,en,Best Books Ever Listings/Children's Literature,Public domain in the USA.,TRUE
272,An Open Letter on Translating,"Luther, Martin",155,en,Christianity,Public domain in the USA.,TRUE
